var,mean,sd,state
A[788],51.791,0.833,
A[789],52.121,0.782,
A[790],52.42,0.791,
A[791],51.458,0.704,
A[792],51.757,0.712,
A[793],50.654,0.73,
A[794],50.952,0.734,
A[795],45.109,1.802,
A[796],52.925,0.798,
A[797],48.725,1.311,
A[798],52.127,0.783,
A[799],52.433,0.767,
A[800],47.718,1.861,
A[801],52.466,0.764,
A[802],52.356,0.798,
A[803],52.765,0.755,
A[804],52.655,0.792,
A[805],51.829,0.671,
A[806],51.709,0.693,
A[807],52.128,0.661,
A[808],52.008,0.685,
A[809],51.839,0.804,
A[810],51.54,0.81,
A[811],51.902,0.768,
A[812],51.603,0.779,
A[813],56.716,1.264,
A[814],56.419,1.284,
A[815],56.779,1.226,
A[816],56.482,1.249,
A[817],51.354,0.786,
A[818],51.055,0.794,
A[819],51.417,0.754,
A[820],51.118,0.767,
A[821],48.071,1.862,
A[822],47.775,1.861,
A[823],48.134,1.846,
A[824],47.837,1.848,
A[825],42.936,3.106,
A[826],52.717,0.739,
A[827],53.016,0.731,
A[828],52.969,0.76,
A[829],53.268,0.744,
A[830],51.445,0.724,
A[831],51.744,0.71,
A[832],51.748,0.812,
A[833],52.047,0.794,
A[834],52.376,0.783,
A[835],52.675,0.771,
A[836],51.596,0.762,
A[837],51.895,0.745,
A[838],50.921,0.727,
A[839],51.22,0.71,
A[840],55.583,1.012,
A[841],55.174,1.011,
A[842],55.867,1.185,
A[843],55.472,1.028,
A[844],56.164,1.19,
A[845],52.742,0.876,
A[846],50.262,0.942,
A[847],39.734,1.333,
A[848],52.415,0.77,
A[849],59.381,2.325,
A[850],52.214,0.782,
A[851],43.822,2.266,
A[852],55.199,2.295,
A[853],52.028,0.752,
A[854],52.327,0.763,
A[855],52.715,0.759,
A[856],52.652,0.792,
A[857],52.001,0.96,
A[858],52.589,0.988,
A[859],52.352,0.904,
A[860],51.514,0.947,
A[861],61.366,1.738,
A[862],55.631,1.358,
A[863],58.329,2.409,
A[864],44.155,1.855,
A[865],53.05,0.73,
A[866],52.061,0.793,
A[867],52.762,0.755,
A[868],53.361,0.734,
A[869],53.133,0.813,
A[870],52.532,0.834,
A[871],53.432,0.8,
A[872],52.83,0.826,
A[873],55.573,1.132,
A[874],51.28,0.754,
A[875],61.104,3.236,
A[876],52.75,0.755,
A[877],53.022,0.73,
A[878],52.075,0.655,
A[879],51.907,0.915,
A[880],52.842,0.757,
A[881],53.153,0.775,
A[882],51.562,0.738,
A[883],52.152,0.808,
A[884],52.554,0.783,
A[885],51.899,0.698,
A[886],51.076,0.736,
A[887],53.141,0.753,
A[888],53.451,0.764,
A[889],51.861,0.728,
A[890],52.152,0.808,
A[891],52.853,0.776,
A[892],52.198,0.69,
A[893],51.375,0.724,
A[894],55.011,3.378,
A[895],58.427,3.272,
A[896],52.392,0.933,
A[897],55.444,0.993,
A[898],60.916,3.236,
A[899],50.087,1.008,
A[900],50.17,0.955,
A[901],49.789,1.018,
A[902],49.871,0.97,
A[903],48.466,1.322,
A[904],49.683,1.058,
A[905],60.684,1.946,
A[906],53.382,0.861,
A[907],54.892,0.998,
A[908],52.809,0.872,
A[909],47.263,4.285,
A[910],52.201,0.826,
A[911],52.317,0.802,
A[912],51.793,0.709,
A[913],51.494,0.721,
A[914],48.274,1.479,
A[915],56.112,1.217,
A[916],52.37,0.916,
A[917],56.514,1.29,
A[918],52.272,0.795,
A[919],44.717,3.216,
A[920],51.609,1.007,
A[921],54.229,1.144,
A[922],52.43,0.803,
A[923],52.343,0.781,
A[924],54.117,1.262,
A[925],51.902,1.466,
A[926],50.999,0.733,
A[927],48.479,1.295,
A[928],51.363,0.841,
A[929],52.009,0.787,
A[930],50.223,2.174,
A[931],50.583,0.748,
A[932],50.01,1.086,
A[933],51.653,0.844,
A[934],37.7,2.009,
A[935],55.395,1.014,
A[936],55.097,1.01,
A[937],56.077,1.153,
A[938],55.78,1.159,
A[939],51.441,0.848,
A[940],52.97,1.035,
A[941],55.866,1.125,
A[942],55.937,1.102,
A[943],52.059,0.688,
A[944],51.76,0.694,
A[945],51.229,0.779,
A[946],51.58,0.768,
A[947],50.743,0.781,
A[948],52.931,0.852,
A[949],53.23,0.867,
A[950],61.274,1.894,
A[951],51.993,0.669,
A[952],53.625,0.928,
A[953],51.897,0.984,
A[954],36.746,1.34,
A[955],51.399,0.795,
A[956],51.655,0.767,
A[957],50.897,0.785,
A[958],51.698,0.785,
A[959],51.954,0.757,
A[960],51.196,0.772,
A[961],52.844,0.758,
A[962],53.155,0.776,
A[963],51.565,0.739,
A[964],51.853,0.824,
A[965],52.556,0.784,
A[966],51.915,0.707,
A[967],51.077,0.737,
A[968],53.143,0.754,
A[969],53.454,0.766,
A[970],51.864,0.729,
A[971],52.152,0.809,
A[972],52.855,0.777,
A[973],52.213,0.7,
A[974],51.376,0.724,
